set,source,model,n_test,h_rel_l2_mean,h_rel_l2_median,c_rel_l2_mean,c_rel_l2_median,mbe_w_mean_final,mbe_c_mean_final,front_error_mean_cm,bt_mae_hours,n_breakthrough,run_dir
E6_extreme_peak_v1,regshift_e0_ood_peak_s42,m2_data,78,0.2981026067583611,0.2760583347606035,0.21429708137523434,0.16861593847815637,11.565800666809082,208.91009521484375,9.34811566935032,10.0,67,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__regshift_e0_ood_peak_s42
E6_extreme_peak_v1,regshift_e0_ood_peak_s42,m2_score,78,0.2981026067583611,0.2760583347606035,0.21429708137523434,0.16861593847815637,11.565800666809082,208.91009521484375,9.34811566935032,10.0,67,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__regshift_e0_ood_peak_s42
E6_extreme_peak_v1,regshift_e0_ood_peak_time_s42,m1,78,0.263510425316561,0.24635525155027865,0.1902835345239774,0.14739970925219842,13.604072570800781,197.6124725341797,6.802680788282171,5.7611940298507465,67,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__regshift_e0_ood_peak_time_s42
E6_extreme_peak_v1,regshift_e0_ood_peak_time_s42,m2_data,78,0.2593743614589908,0.2224032493599377,0.18479220669679622,0.1565730933744452,12.505656242370605,198.6823272705078,6.866205932125265,5.343283582089552,67,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__regshift_e0_ood_peak_time_s42
E6_extreme_peak_v1,regshift_e0_ood_peak_time_s42,m2_score,78,0.27070667371239854,0.24294780149845832,0.21350688162543094,0.17094548571528195,13.904891967773438,160.7965545654297,7.358309932343629,13.477611940298507,67,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__regshift_e0_ood_peak_time_s42
E6_extreme_peak_v1,regshift_e0_ood_peak_time_s42,m2_phase2_score,78,0.27070667371239854,0.24294780149845832,0.21350688162543094,0.17094548571528195,13.904891967773438,160.7965545654297,7.358309932343629,13.477611940298507,67,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__regshift_e0_ood_peak_time_s42
E6_extreme_peak_v1,regshift_iid_s42,m1,78,0.3108595353790782,0.2744774179910474,0.22584732895498497,0.13887295469879807,16.407129287719727,208.71705627441406,8.797077936544976,5.2153846153846155,65,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__regshift_iid_s42
E6_extreme_peak_v1,regshift_iid_s42,m2_data,78,0.3163617433007135,0.2767112799425072,0.2224758017463868,0.1488200579697232,16.383487701416016,206.3767547607422,8.951711108907894,4.538461538461538,65,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__regshift_iid_s42
E6_extreme_peak_v1,regshift_iid_s42,m2_score,78,0.31919516651597485,0.2875727260509157,0.22263082302689277,0.14591166713150325,17.505260467529297,201.965576171875,9.435750813931527,4.861538461538461,65,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__regshift_iid_s42
E6_extreme_peak_v1,regshift_ood_peak_s42,m1,78,0.32493988542388896,0.28888065266985163,0.21550661440899566,0.15622845497229576,15.72261905670166,200.00588989257812,9.905518670068808,6.878787878787879,66,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__regshift_ood_peak_s42
E6_extreme_peak_v1,regshift_ood_peak_s42,m2_data,78,0.3279510235657538,0.28374944516165257,0.22213465002444488,0.17236145699421107,15.327461242675781,201.22406005859375,9.876371858940805,7.522388059701493,67,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__regshift_ood_peak_s42
E6_extreme_peak_v1,regshift_ood_peak_s42,m2_score,78,0.3279510235657538,0.28374944516165257,0.22213465002444488,0.17236145699421107,15.327461242675781,201.22406005859375,9.876371858940805,7.522388059701493,67,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__regshift_ood_peak_s42
E6_extreme_peak_v1,regshift_ood_time_s42,m1,78,0.32122699854069137,0.2774936741196995,0.22388955054917759,0.1531968031108233,19.991382598876953,205.6341094970703,9.375656626920103,5.6875,64,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__regshift_ood_time_s42
E6_extreme_peak_v1,regshift_ood_time_s42,m2_data,78,0.31031541785878897,0.27449464392922285,0.2239292252474433,0.16837784517256,19.82282257080078,196.64561462402344,9.65569719154053,5.1692307692307695,65,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__regshift_ood_time_s42
E6_extreme_peak_v1,regshift_ood_time_s42,m2_score,78,0.31031541785878897,0.27449464392922285,0.2239292252474433,0.16837784517256,19.82282257080078,196.64561462402344,9.65569719154053,5.1692307692307695,65,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__regshift_ood_time_s42
E6_extreme_peak_v1,shift_iid,m1,78,0.39874307600921116,0.36084410000641765,0.3520078863667219,0.2827032634077508,21.595157623291016,187.81005859375,18.25639558435496,13.257575757575758,66,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__shift_iid
E6_extreme_peak_v1,shift_iid,m2_data,78,0.32672768824056864,0.28298716213731434,0.2670753732613867,0.19582603846078148,18.678831100463867,196.9464569091797,12.132795024730392,11.82089552238806,67,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__shift_iid
E6_extreme_peak_v1,shift_iid,m2_score,78,0.3272355509347805,0.29296611810832845,0.2922869007057394,0.23151956143764404,20.05150032043457,172.64141845703125,13.063110780728273,14.656716417910447,67,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/e6e8_eval__E6_extreme_peak_v1__shift_iid
