part,run_key,scenario,family,model,axis,severity_bin,severity_rank,n,rel_l2_h_mean,rel_l2_h_median,rel_l2_c_mean,rel_l2_c_median,bt_mae_hours
B,e6e8_eval__E6_extreme_peak_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m2_data,q_top_peak,peak_8.0,6,22,0.3750282631354214,0.31376444443940305,0.29427179419675903,0.19315697455241498,9.777777777777779
B,e6e8_eval__E6_extreme_peak_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m2_data,q_top_peak,peak_5.5,4,29,0.3449417071794566,0.31758626626344205,0.21205776348078242,0.1923251788485913,9.92
B,e6e8_eval__E6_extreme_peak_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m2_data,q_top_peak,peak_6.5,5,27,0.2860822671153864,0.26214702201196116,0.2226217329405772,0.22438002085000766,10.708333333333334
B,e6e8_eval__E6_extreme_peak_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m2_data,q_top_peak,peak_8.0,6,22,0.34028374568750624,0.2974517913598712,0.30874850308963353,0.18250780501252073,13.944444444444445
A,iid_baseline,iid,deeponet_baseline,m2_data,q_top_peak,p00_p90,0,96,0.23620068242146441,0.2339838481555206,0.11040021558590836,0.07443553807145661,8.416666666666666
A,iid_baseline,iid,deeponet_baseline,m2_data,q_top_peak,p90_p95,1,9,0.24820132833274228,0.26240646557962105,0.10094544648171763,0.09219186584765497,7.75
A,iid_baseline,iid,deeponet_baseline,m2_data,q_top_peak,p95_p98,2,4,0.24215908760558583,0.23587283671049902,0.14880489783070594,0.16771381547457842,18.0
A,iid_baseline,iid,deeponet_baseline,m2_data,q_top_peak,p98_p100,3,3,0.28923013785002877,0.2930895895983413,0.11314491926641827,0.09825856016812362,15.0
A,ood_peak_baseline,ood_peak,deeponet_baseline,m2_data,q_top_peak,p90_p95,1,36,0.22269344935343355,0.21417177943100654,0.1021909128631892,0.06538618273263791,3.3125
A,ood_peak_baseline,ood_peak,deeponet_baseline,m2_data,q_top_peak,p95_p98,2,25,0.28391511169806555,0.2695738414126223,0.14464954990913814,0.13201521615207934,6.857142857142857
A,ood_peak_baseline,ood_peak,deeponet_baseline,m2_data,q_top_peak,p98_p100,3,14,0.2615558804409165,0.23737783290777717,0.10592403627292904,0.06641663340400433,4.083333333333333
A,ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m2_data,q_top_peak,p00_p90,0,68,0.22382564802018806,0.20982085294084735,0.0939516065708418,0.06953145239836252,6.689655172413793
A,ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m2_data,q_top_peak,p90_p95,1,2,0.2164421393887393,0.2164421393887393,0.029685286428836263,0.029685286428836263,0.5
